Unnamed: 0;Unnamed: 1;Unnamed: 2;gemini 2.0;Unnamed: 4;Unnamed: 5;gemini 2.5;Unnamed: 7;Unnamed: 8;gpt 4o;Unnamed: 10;Unnamed: 11;grok 3;Unnamed: 13;Unnamed: 14;Mistral large;Unnamed: 16;Unnamed: 17;Unnamed: 18;LLM;ALLIANCE GERMANY;AfD;Alliance C;Animal Protection Party;BP;BSW;BüSo;CDU/CSU;FDP;FREE VOTERS;GREENS;HUMAN WORLD;MERA25;MLPD;PDF;PIRATES;PdH;Rejuvenation research;SGP;SPD;The Justice Party - Team Todenhöfer;The Left;The party;Values ​​Union;theBasis;volt;weeks of pregnancy;ÖDP
FREE VOTERS;Other;;57,23;#NAME?;7,9;50,41;#NAME?;11,8;51,85;#NAME?;9,2;50,26;#NAME?;2,6;46,07;#NAME?;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GREENS;Green;;58,81;#NAME?;10,6;68,03;#NAME?;11,9;71,85;#NAME?;6,6;70,02;#NAME?;2,7;69,2;#NAME?;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HUMAN WORLD;Other;;45,13;#NAME?;6,6;50,66;#NAME?;6,6;51,83;#NAME?;7,9;49,74;#NAME?;2,6;50,52;#NAME?;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MERA25;Radical Left;;57,76;#NAME?;7,9;61,97;#NAME?;7,9;69,21;#NAME?;6,6;74,74;#NAME?;2,6;67,89;#NAME?;15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MLPD;Radical Left;Far;59,06;#NAME?;7,9;61,96;#NAME?;6,6;69,72;#NAME?;6,6;76,04;#NAME?;2,6;69,22;#NAME?;15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ÖDP;Green;;66,72;#NAME?;10,5;62,24;#NAME?;9,2;68,42;#NAME?;5,3;76,04;#NAME?;2,6;67,11;#NAME?;18,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PDF;Other;;59,61;#NAME?;10,5;60,92;#NAME?;13,1;66,96;#NAME?;6,5;64,76;#NAME?;2,6;57,1;#NAME?;9,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PdH;Other;;50,92;#NAME?;6,6;62,5;#NAME?;11,8;64,35;#NAME?;6,6;61,8;#NAME?;0;56,05;#NAME?;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIRATES;Other;;54,6;#NAME?;9,2;59,08;#NAME?;6,6;70,12;#NAME?;10,5;72,66;#NAME?;2,6;63,96;#NAME?;15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rejuvenation research;Other;;54,33;#NAME?;2,7;57,77;#NAME?;3,9;68,81;#NAME?;5,3;51,3;#NAME?;0;57,37;#NAME?;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGP;Other;;53,83;#NAME?;7,9;56,72;#NAME?;6,6;65,01;#NAME?;7,9;70,78;#NAME?;2,7;63,69;#NAME?;18,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPD;Social Democratic;;60,4;#NAME?;7,9;68,29;#NAME?;14,5;74,34;#NAME?;13,1;70,02;#NAME?;2,7;68,94;#NAME?;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Justice Party - Team Todenhöfer;Other;;58,29;#NAME?;5,2;61,71;#NAME?;13,1;68,15;#NAME?;15,7;74,74;#NAME?;2,6;66,83;#NAME?;22,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Left;Radical Left;;56,44;#NAME?;7,9;60,65;#NAME?;7,9;70,14;#NAME?;7,9;76,56;#NAME?;2,6;67,12;#NAME?;13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The party;Radical Left;;66,96;#NAME?;7,9;65,41;#NAME?;5,2;74,47;#NAME?;9,2;81,34;#NAME?;2,6;74,21;#NAME?;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
theBasis;Other;Anti-Lockdown/Vaccination;52,21;#NAME?;3,9;51,18;#NAME?;11,9;60,39;#NAME?;19,7;57,9;#NAME?;0;55,25;#NAME?;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Values ​​Union;Social Democratic;;39,36;#NAME?;6,6;47,37;#NAME?;21,1;39,61;#NAME?;23,7;36,58;#NAME?;2,7;38,67;#NAME?;14,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volt;Liberal;;62,5;#NAME?;9,2;65,02;#NAME?;5,2;69,88;#NAME?;44,7;74,74;#NAME?;2,6;69,46;#NAME?;13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
weeks of pregnancy;Other;not a political party;61,17;#NAME?;9,2;64,61;#NAME?;22,3;75,65;#NAME?;5,2;76,56;#NAME?;2,6;70,03;#NAME?;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
